Kiev

Date and time   Temperature
2021-12-01 03:00   -0.28
2021-12-01 06:00   -0.02
2021-12-01 09:00   1.53
2021-12-01 12:00   1.63
2021-12-01 15:00   -0.47
2021-12-01 18:00   -1.63
2021-12-01 21:00   -1.29
2021-12-02 00:00   -0.81
2021-12-02 03:00   0.39
2021-12-02 06:00   2.06
2021-12-02 09:00   4.41
2021-12-02 12:00   5.52
2021-12-02 15:00   4.06
2021-12-02 18:00   3.56
2021-12-02 21:00   4.18
2021-12-03 00:00   3.49
2021-12-03 03:00   2.93
2021-12-03 06:00   3.2
2021-12-03 09:00   5.78
2021-12-03 12:00   6.52
2021-12-03 15:00   1.66
2021-12-03 18:00   1.68
2021-12-03 21:00   0.78
2021-12-04 00:00   -1.01
2021-12-04 03:00   -1.3
2021-12-04 06:00   -1.26
2021-12-04 09:00   0.69
2021-12-04 12:00   1.69
2021-12-04 15:00   0.08
2021-12-04 18:00   -0.31
2021-12-04 21:00   -0.61
2021-12-05 00:00   -0.89
2021-12-05 03:00   -1.04
2021-12-05 06:00   -1.5
2021-12-05 09:00   0.55
2021-12-05 12:00   1.24
2021-12-05 15:00   -0.82
2021-12-05 18:00   -1.33
2021-12-05 21:00   -1.54
2021-12-06 00:00   -1.42
